participant,dataset,n_trials,n_correct,mean_rt_s,accuracy_pct
p01,CIPIC Human,6,1,4.213,16.7
p01,CIPIC KEMAR,6,1,3.747,16.7
p02,CIPIC Human,6,2,4.172,33.3
p02,CIPIC KEMAR,6,3,2.499,50.0
p03,CIPIC Human,6,4,2.55,66.7
p03,CIPIC KEMAR,6,2,2.405,33.3
p04,CIPIC Human,6,2,1.634,33.3
p04,CIPIC KEMAR,6,4,3.153,66.7
p05,CIPIC Human,6,3,2.957,50.0
p05,CIPIC KEMAR,6,2,1.702,33.3
p06,CIPIC Human,6,3,4.94,50.0
p06,CIPIC KEMAR,6,2,4.326,33.3
p07,CIPIC Human,6,0,4.565,0.0
p07,CIPIC KEMAR,6,5,5.071,83.3
p08,CIPIC Human,6,3,4.601,50.0
p08,CIPIC KEMAR,6,3,4.707,50.0
p09,CIPIC Human,6,3,3.101,50.0
p09,CIPIC KEMAR,6,2,3.698,33.3
p10,CIPIC Human,6,2,4.342,33.3
p10,CIPIC KEMAR,6,3,3.484,50.0
